Name,Country1,Country2,Country3,Country4,Country5,Country6,Language1,Language2,Language3,Language4,Language5,Language6,Gross_revenue,Production1,Production2,Production3,Runtime,Rating,Genre1,Genre2,Genre3,Nums_score,Nums_review,Nums_critic,Story,Director1,Director2,Writer1,Writer2,Star1,Star2,Star3
The Bridge on the River Kwai,UK, USA,,,,,English, Japanese, Thai,,,,27200000,Horizon Pictures (II),,,161,PG,Adventure, Drama, War,195562,321,93,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",David Lean,,Pierre Boulle, Carl Foreman,William Holden, Alec Guinness, Jack Hawkins
Finding Nemo,USA, Australia,,,,,English,,,,,,940343261,Pixar Animation Studios, Walt Disney Pictures,,100,G,Animation, Adventure, Comedy,915611,953,148,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Andrew Stanton, Lee Unkrich,Andrew Stanton, Andrew Stanton,Albert Brooks, Ellen DeGeneres, Alexander Gould
Stalker,Soviet Union,,,,,,Russian,,,,,,303806,Mosfilm, Vtoroe Tvorcheskoe Obedinenie,,162,Not Rated,Drama, Sci-Fi,,108305,405,157,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,,Arkadiy Strugatskiy, Boris Strugatskiy,Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn
On the Waterfront,USA,,,,,,English,,,,,,0,Horizon Pictures,,,108,Not Rated,Crime, Drama, Thriller,135877,320,158,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Elia Kazan,,Budd Schulberg, Budd Schulberg,Marlon Brando, Karl Malden, Lee J. Cobb
The Third Man,UK,,,,,,English, German, Russian,,,,1225424,London Film Productions,,,104,Not Rated,Film-Noir, Mystery, Thriller,152721,467,249,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Carol Reed,,Graham Greene, Graham Greene,Orson Welles, Joseph Cotten, Alida Valli
Fargo,USA, UK,,,,,English,,,,,,60611975,PolyGram Filmed Entertainment, Working Title Films,,98,R,Crime, Drama, Thriller,591719,938,226,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen, Ethan Coen,Ethan Coen, Joel Coen,William H. Macy, Frances McDormand, Steve Buscemi
Kill Bill: Vol. 1,USA, Japan,,,,,English, Japanese, French,,,,180899045,Miramax, A Band Apart, Super Cool ManChu,111,R,Action, Crime, Thriller,962437,2251,367,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,,Quentin Tarantino, Quentin Tarantino,Uma Thurman, David Carradine, Daryl Hannah
The Truman Show,USA,,,,,,English,,,,,,264118201,Paramount Pictures, Scott Rudin Productions,,103,PG,Comedy, Drama, Sci-Fi,891554,1120,254,An insurance salesman discovers his whole life is actually a reality TV show.,Peter Weir,,Andrew Niccol,,Jim Carrey, Ed Harris, Laura Linney
Gran Torino,Germany, USA,,,,,English, Hmong,,,,,269958228,Matten Productions, Double Nickel Entertainment, Gerber Pictures,116,R,Drama,,,698605,976,370,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Clint Eastwood,,Nick Schenk, Dave Johannson,Clint Eastwood, Bee Vang, Christopher Carley
Tokyo Story,Japan,,,,,,Japanese, English,,,,,40405,Shochiku,,,136,Not Rated,Drama,,,48522,153,105,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,,Kôgo Noda, Yasujirô Ozu,Chishû Ryû, Chieko Higashiyama, Sô Yamamura
The Deer Hunter,USA,,,,,,English, Russian, Vietnamese, French,,,49074243,EMI Films, Universal Pictures,,183,R,Drama, War,,299563,1124,159,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Michael Cimino,,Michael Cimino, Deric Washburn,Robert De Niro, Christopher Walken, John Cazale
Memories of Murder,South Korea,,,,,,Korean, English,,,,,927398,CJ Entertainment, Muhan Investment, Sidus,131,Not Rated,Action, Crime, Drama,121783,223,172,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Bong Joon Ho,,Bong Joon Ho, Kwang-rim Kim,Kang-ho Song, Sang-kyung Kim, Roe-ha Kim
Relatos salvajes,Argentina, Spain, France, UK,,,Spanish,,,,,,30642704,British Film Institute (BFI), Canal+, Corner Producciones,122,R,Comedy, Drama, Thriller,165524,222,309,Six short stories that explore the extremities of human behavior involving people in distress.,Damián Szifron,,Germán Servidio, Damián Szifron,Darío Grandinetti, María Marull, Mónica Villa
