Name,Country1,Country2,Country3,Country4,Country5,Country6,Language1,Language2,Language3,Language4,Language5,Language6,Gross_revenue,Production1,Production2,Production3,Runtime,Rating,Genre1,Genre2,Genre3,Nums_score,Nums_review,Nums_critic,Story,Director1,Director2,Writer1,Writer2,Star1,Star2,Star3
Harry Potter and the Deathly Hallows: Part 2,UK, USA,,,,,English,,,,,,1341932398,Warner Bros., Heyday Films, Moving Picture Company (MPC),130,PG-13,Adventure, Drama, Fantasy,731126,936,482,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,,Steve Kloves, J.K. Rowling,Daniel Radcliffe, Emma Watson, Rupert Grint
Andrei Rublev,Soviet Union,,,,,,Russian, Italian, Tatar,,,,145491,Mosfilm, Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov,,165,R,Biography, Drama, History,43307,151,109,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Andrei Tarkovsky,,Andrey Konchalovskiy, Andrei Tarkovsky,Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko
The 400 Blows,France,,,,,,French, English,,,,,127244,Les Films du Carrosse, Sédif Productions,,99,Not Rated,Crime, Drama,,99358,208,164,"A young boy, left without attention, delves into a life of petty crime.",François Truffaut,,François Truffaut, Marcel Moussy,Jean-Pierre Léaud, Albert Rémy, Claire Maurier
Hotel Rwanda,UK, South Africa, Italy,,,,English, French, Kinyarwanda,,,,33882243,United Artists, Lions Gate Films, Industrial Development Corporation of South Africa,121,PG-13,Biography, Drama, History,325511,663,153,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,Terry George,,Keir Pearson, Terry George,Don Cheadle, Sophie Okonedo, Joaquin Phoenix
Amores Perros,Mexico,,,,,,Spanish,,,,,,20908467,Altavista Films, Zeta Film,,154,R,Drama, Thriller,,216112,394,158,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,,Guillermo Arriaga,,Emilio Echevarría, Gael García Bernal, Goya Toledo
Rang De Basanti,India,,,,,,Hindi,,,,,,8846694,ROMP, UTV Motion Pictures,,167,Not Rated,Comedy, Drama,,106500,358,39,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,,Renzil D'Silva, Prasoon Joshi,Aamir Khan, Soha Ali Khan, Siddharth
The Handmaiden,South Korea,,,,,,Korean, Japanese,,,,,37767206,Moho Film, Yong Film,,145,Not Rated,Drama, Romance, Thriller,98473,197,333,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Chan-wook Park,,Sarah Waters, Seo-kyeong Jeong,Min-hee Kim, Jung-woo Ha, Jin-woong Cho
Spotlight,USA,,,,,,English,,,,,,98690254,Participant, First Look Media, Anonymous Content,129,R,Biography, Crime, Drama,396906,592,528,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,,Josh Singer, Tom McCarthy,Mark Ruffalo, Michael Keaton, Rachel McAdams
Nausicaä of the Valley of the Wind,Japan, USA,,,,,Japanese,,,,,,2340981,Nibariki, Tokuma Shoten, Hakuhodo,117,PG,Animation, Adventure, Fantasy,140225,225,119,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,,Hayao Miyazaki, Hayao Miyazaki,Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda
Portrait of a Lady on Fire,France,,,,,,French, Italian,,,,,9729987,Lilies Films, Arte France Cinéma, Hold Up Films,122,R,Drama, Romance,,36407,236,235,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Céline Sciamma,,Céline Sciamma,,Noémie Merlant, Adèle Haenel, Luàna Bajrami
Rocky,USA,,,,,,English,,,,,,117235147,Chartoff-Winkler Productions,,,120,PG,Drama, Sport,,498801,677,183,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen,,Sylvester Stallone,,Sylvester Stallone, Talia Shire, Burt Young
Rebecca,USA,,,,,,English, French,,,,,72275,Selznick International Pictures,,,130,Approved,Drama, Mystery, Romance,117053,329,199,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Alfred Hitchcock,,Daphne Du Maurier, Robert E. Sherwood,Laurence Olivier, Joan Fontaine, George Sanders
"Monsters, Inc.",USA,,,,,,English,,,,,,632316649,Pixar Animation Studios, Walt Disney Pictures,,92,G,Animation, Adventure, Comedy,784053,663,263,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Pete Docter, David Silverman,Pete Docter, Jill Culton,Billy Crystal, John Goodman, Mary Gibbs
La Haine,France,,,,,,French,,,,,,280859,Canal+, Cofinergie 6, Egg Pictures,98,Not Rated,Crime, Drama,,140412,206,115,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,,Mathieu Kassovitz,,Vincent Cassel, Hubert Koundé, Saïd Taghmaoui
It Happened One Night,USA,,,,,,English,,,,,,0,Columbia Pictures,,,105,Approved,Comedy, Romance,,89572,292,119,A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,Frank Capra,,Robert Riskin, Samuel Hopkins Adams,Clark Gable, Claudette Colbert, Walter Connolly
Gangs of Wasseypur,India,,,,,,Hindi,,,,,,4384642,Jar Pictures, AKFPL, Bohra Bros Productions,321,R,Action, Crime, Drama,75262,221,112,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,,Akhilesh Jaiswal, Anurag Kashyap,Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui
In the Mood for Love,Hong Kong, China,,,,,Cantonese, Shanghainese, French, Spanish,,,12854953,Block 2 Pictures, Jet Tone Production, Orly Films,98,PG,Drama, Romance,,115752,406,146,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Kar-Wai Wong,,Kar-Wai Wong,,Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu
Before Sunset,USA, France,,,,,English, French,,,,,15936507,Warner Independent Pictures (WIP), Castle Rock Entertainment, Detour Filmproduction,80,R,Drama, Romance,,223234,534,240,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Richard Linklater,,Richard Linklater, Julie Delpy,Ethan Hawke, Julie Delpy, Vernon Dobtcheff
The Princess Bride,USA,,,,,,English,,,,,,30877156,Act III Communications, Buttercup Films Ltd., The Princess Bride Ltd.,98,PG,Adventure, Family, Fantasy,378148,832,213,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,,William Goldman, William Goldman,Cary Elwes, Mandy Patinkin, Robin Wright
The Help,USA,,,,,,English,,,,,,216639112,DreamWorks, Reliance Film & Entertainment, Participant,146,PG-13,Drama,,,410985,544,392,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,,Tate Taylor, Kathryn Stockett,Emma Stone, Viola Davis, Octavia Spencer
"Paris, Texas",West Germany, France, UK,,,,English, Spanish,,,,,2206121,Road Movies Filmproduktion, Argos Films, Westdeutscher Rundfunk (WDR),145,R,Drama,,,83062,211,99,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,,L.M. Kit Carson, Sam Shepard,Harry Dean Stanton, Nastassja Kinski, Dean Stockwell
The Invisible Guest,Spain,,,,,,Spanish,,,,,,31191910,Atresmedia Cine, Think Studio, Nostromo Pictures,106,G,Crime, Mystery, Thriller,116664,347,60,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.,Oriol Paulo,,Oriol Paulo,,Mario Casas, Ana Wagener, Jose Coronado
Drishyam,India,,,,,,Hindi,,,,,,0,Panorama Studios, Rajkumar Theaters Private Limited, Viacom18 Motion Pictures,163,Not Rated,Crime, Drama, Mystery,62713,213,37,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,,Jeethu Joseph, Upendra Sidhaye,Ajay Devgn, Shriya Saran, Tabu
The Terminator,UK, USA,,,,,English, Spanish,,,,,78475971,Cinema '84, Euro Film Funding, Hemdale,107,R,Action, Sci-Fi,,773429,861,230,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.",James Cameron,,James Cameron, Gale Anne Hurd,Arnold Schwarzenegger, Linda Hamilton, Michael Biehn
Ace in the Hole,USA,,,,,,English, Spanish, Latin,,,,2300000,Paramount Pictures,,,111,Approved,Drama, Film-Noir,,29347,179,110,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Billy Wilder,,Billy Wilder, Lesser Samuels,Kirk Douglas, Jan Sterling, Robert Arthur
Kis Uykusu,Turkey, France, Germany,,,,Turkish, English,,,,,4018705,Zeynofilm, Memento Films Production, Bredok Filmproduction,196,Not Rated,Drama,,,42226,96,201,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Nuri Bilge Ceylan,,Ebru Ceylan, Nuri Bilge Ceylan,Haluk Bilginer, Melisa Sözen, Demet Akbag
Lagaan: Once Upon a Time in India,India,,,,,,Hindi, English, Awadhi, Urdu,,,1724806,Aamir Khan Productions, Jhamu Sughand Productions,,224,PG,Adventure, Drama, Musical,100169,274,77,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Ashutosh Gowariker,,Ashutosh Gowariker, Ashutosh Gowariker,Aamir Khan, Raghuvir Yadav, Gracy Singh
Butch Cassidy and the Sundance Kid,USA,,,,,,English, Spanish,,,,,102310639,Campanile Productions, George Roy Hill-Paul Monash Production, Newman-Foreman Company,110,PG,Biography, Crime, Drama,196813,420,103,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,,William Goldman,,Paul Newman, Robert Redford, Katharine Ross
Aladdin,USA,,,,,,English,,,,,,504050219,Walt Disney Pictures, Silver Screen Partners IV, Walt Disney Animation Studios,90,G,Animation, Adventure, Comedy,356294,319,154,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements, John Musker,Ron Clements, John Musker,Scott Weinger, Robin Williams, Linda Larkin
Akira,Japan,,,,,,Japanese,,,,,,577594,Akira Committee Company Ltd., Akira Studio, TMS Entertainment,124,R,Animation, Drama, Sci-Fi,155615,517,113,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Katsuhiro Ôtomo,,Katsuhiro Ôtomo, Izô Hashimoto,Mitsuo Iwata, Nozomu Sasaki, Mami Koyama
Throne of Blood,Japan,,,,,,Japanese,,,,,,46808,Toho Company, Kurosawa Production Co.,,110,Not Rated,Drama, History,,43192,146,96,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa,,Hideo Oguni, Shinobu Hashimoto,Toshirô Mifune, Minoru Chiaki, Isuzu Yamada
Three Colors: Red,Switzerland, France, Poland,,,,French,,,,,,3581969,MK2 Productions, France 3 Cinéma, CAB Productions,99,R,Drama, Mystery, Romance,85280,161,106,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,,Krzysztof Kieslowski, Krzysztof Piesiewicz,Irène Jacob, Jean-Louis Trintignant, Frédérique Feder
